Price,Close,High,Low,Open,Volume
Ticker,GS,GS,GS,GS,GS
Date,,,,,
1999-05-04,49.199947357177734,54.00633653061428,48.937780674990286,53.132447589989454,22320900
1999-05-05,48.326053619384766,48.85038693171082,46.31610925546822,48.85038693171082,7565700
1999-05-06,47.49586868286133,48.500841065295376,46.88414636311886,47.5395631342715,2905700
1999-05-07,51.82162094116211,52.34595437395633,46.66567551868561,47.495870120609794,4862300
1999-05-10,49.41843032836914,51.3846808719382,49.11256913270284,51.29729195889069,2589400
1999-05-11,49.37471008300781,49.7679599863238,48.588210276375825,48.93776574599004,1839800
1999-05-12,51.38465881347656,52.34593644434092,48.32604816981725,49.636881302814096,2659300
1999-05-13,51.16620635986328,52.608123362318864,50.685567359044754,51.20990081448315,1142900
1999-05-14,49.068851470947266,50.51076785433219,48.282351625464585,49.8116568805698,2058400
1999-05-17,47.97650909423828,49.112564865140094,47.53956456696835,48.32606471605422,2075000
1999-05-18,47.97650909423828,49.243648223321074,47.626953472422336,47.71434237787632,1407100
1999-05-19,48.457130432128906,48.806685926679876,48.063880500759055,48.500824868947774,727400
1999-05-20,47.80172348022461,49.025167956866554,47.80172348022461,48.631917946517355,520800
1999-05-21,47.18998336791992,48.1075663778517,47.18998336791992,47.62692765836363,936200
1999-05-24,45.660682678222656,47.01521010695462,45.442210512298146,46.84043237421501,1493000
1999-05-25,45.09266662597656,46.09763884729193,44.74311107073643,44.830499959546465,1662400
1999-05-26,46.18503189086914,46.578281925890735,44.08769837075399,45.879170752519016,1602900
1999-05-27,47.36479568481445,47.36479568481445,45.22376709758575,45.44223940240501,1220500
1999-05-28,47.49586868286133,48.10759100260379,46.84045191170868,47.3647853286308,901900
1999-06-01,44.87418746948242,46.57827053794378,44.43724309295387,46.57827053794378,953900
1999-06-02,44.218772888183594,44.786800603150375,43.344884095927,44.56832840508623,2204300
1999-06-03,44.480960845947266,44.87421099095073,44.13140516149974,44.74312760928291,852600
1999-06-04,45.70439910888672,46.84045491847664,44.96159338723177,44.96159338723177,1357400
1999-06-07,46.0976448059082,47.36478385744501,45.57331140527228,45.57331140527228,891900
1999-06-08,44.56835174560547,45.92288008297191,44.56835174560547,45.704407770493454,571700
1999-06-09,45.791786193847656,45.791786193847656,44.480952619596295,44.91789714434675,611400
1999-06-10,44.306175231933594,45.39853655421992,44.262480779042136,45.35484210132847,664200
1999-06-11,44.218772888183594,44.961578361601696,43.56335629399115,44.69941172392472,969300
1999-06-14,42.820560455322266,44.743116230867344,42.296227061991786,44.39356063531369,821100
1999-06-15,43.86921691894531,44.30616131056828,43.51966140564694,43.95660579726991,831700
1999-06-16,45.617008209228516,45.74809156615158,44.69942471076702,44.69942471076702,690300
1999-06-17,45.44222640991211,46.75305986404419,45.09267082214355,45.09267082214355,955700
1999-06-18,45.311134338378906,45.3548287784352,44.39355109719669,44.91788437787224,613900
1999-06-21,48.58821487426758,48.89407593912358,46.53457629594872,46.62196517162186,1811000
1999-06-22,47.539554595947266,49.02516567707062,47.36477682169746,49.02516567707062,1165900
